Pot (AU), Therm (Ohms)
0,1135.78
0,2459.29
0,2949.86
0,3089.71
0,2702.86
0,2741.32
0,3190
0,3041.74
0,3190
0,3190
0,3242.46
0,3296.56
0,3296.56
0,3296.56
0,3296.56
0,3352.38
0,3296.56
0,3296.56
0,3352.38
0,3352.38
0,3296.56
0,3296.56
0,3296.56
0,3352.38
0,3352.38
0,3352.38
0,3352.38
0,3296.56
0,3296.56
0,3296.56
0,3352.38
0,3352.38
0,3296.56
0,3296.56
0,3352.38
0,3296.56
0,3352.38
0,3352.38
0,3352.38
0,3242.46
0,3410
0,3410
0,3352.38
0,3352.38
0,3296.56
0,3469.51
0,3469.51
0,3531
0,3410
0,3352.38
0,3352.38
0,3352.38
0,3296.56
0,3296.56
0,3352.38
38,2491.57
174,1260.66
327,607.43
382,520.33
382,405.17
382,434.24
382,375.4
382,419.38
382,367.62
382,415.76
382,366.09
382,412.19
382,364.57
382,412.19
382,364.57
382,412.19
382,364.57
382,412.19
382,366.09
382,412.19
382,364.57
382,412.19
382,366.09
382,413.97
382,364.57
382,413.97
382,443.89
381,412.19
382,441.94
381,413.97
381,441.94
382,412.19
382,447.83
381,412.19
382,441.94
381,412.19
381,441.94
381,413.97
381,443.89
381,410.42
381,441.94
381,412.19
381,443.89
382,410.42
381,441.94
381,412.19
381,441.94
381,339.85
381,441.94
381,339.85
381,401.71
381,327.59
381,393.24
381,323.62
382,393.24
381,324.94
381,394.92
381,324.94
381,393.24
381,323.62
382,391.58
381,323.62
381,389.92
381,322.31
381,391.58
381,322.31
381,388.27
381,321.01
381,388.27
381,322.31
381,389.92
381,322.31
381,386.63
381,349.77
381,405.17
381,360.05
381,412.19
381,366.09
381,415.76
381,366.09
381,413.97
381,364.57
381,413.97
381,364.57
381,415.76
381,366.09
381,415.76
381,366.09
381,415.76
381,366.09
381,413.97
381,366.09
381,413.97
380,366.09
381,413.97
381,364.57
381,413.97
381,366.09
380,413.97
381,366.09
381,415.76
381,366.09
381,413.97
381,366.09
381,413.97
381,364.57
381,415.76
381,367.62
380,417.56
380,366.09
381,413.97
380,366.09
381,413.97
381,366.09
380,413.97
381,366.09
381,413.97
381,366.09
381,413.97
381,366.09
381,415.76
381,366.09
381,415.76
380,367.62
380,419.38
381,367.62
380,417.56
381,464.07
380,426.72
380,449.82
380,441.94
381,453.83
380,417.56
380,474.63
380,406.91
380,417.56
380,403.43
381,430.46
381,400
380,436.15
380,408.66
380,440
380,412.19
380,443.89
380,412.19
380,443.89
380,413.97
380,443.89
380,413.97
380,443.89
380,413.97
380,443.89
380,341.25
380,403.43
380,327.59
380,394.92
380,324.94
380,394.92
380,323.62
380,391.58
380,323.62
380,393.24
380,324.94
380,394.92
380,323.62
380,391.58
380,323.62
380,391.58
380,322.31
380,391.58
380,322.31
380,393.24
380,327.59
380,396.6
380,324.94
380,391.58
380,324.94
380,391.58
380,355.6
380,408.66
380,363.06
380,413.97
380,366.09
380,413.97
380,367.62
380,415.76
380,369.16
380,415.76
380,367.62
380,415.76
380,366.09
380,415.76
380,369.16
380,424.87
380,376.98
379,434.24
380,388.27
380,438.07
380,378.56
380,423.03
380,372.26
380,432.35
380,393.24
380,447.83
380,355.6
380,419.38
380,352.67
380,385
380,330.27
379,385
380,349.77
380,403.43
380,363.06
380,413.97
379,364.57
380,413.97
380,366.09
379,415.76
380,445.86
380,415.76
380,447.83
380,415.76
379,447.83
380,415.76
380,449.82
379,417.56
380,449.82
380,413.97
380,445.86
379,415.76
379,447.83
380,415.76
380,445.86
380,417.56
379,449.82
380,417.56
380,447.83
380,413.97
379,447.83
380,344.06
380,403.43
380,331.62
380,398.3
380,326.26
379,394.92
380,324.94
380,393.24
380,324.94
379,393.24
380,326.26
380,393.24
380,324.94
380,393.24
380,326.26
380,393.24
380,326.26
380,394.92
380,326.26
380,393.24
380,326.26
380,393.24
379,357.08
379,410.42
379,364.57
380,413.97
379,367.62
380,417.56
380,367.62
380,417.56
380,369.16
380,419.38
380,367.62
379,417.56
380,369.16
379,417.56
379,367.62
379,417.56
379,369.16
379,417.56
379,367.62
380,417.56
379,367.62
380,417.56
380,369.16
379,417.56
380,369.16
380,417.56
380,369.16
380,417.56
380,369.16
379,417.56
379,369.16
379,415.76
379,369.16
379,415.76
379,369.16
379,417.56
379,449.82
379,417.56
379,447.83
379,417.56
379,447.83
380,417.56
379,449.82
379,417.56
379,447.83
380,415.76
379,447.83
379,415.76
379,447.83
379,415.76
379,447.83
379,415.76
379,447.83
379,415.76
379,447.83
379,344.06
379,406.91
421,305.84
537,274.64
684,151.39
748,141.83
770,98.33
765,91.29
765,88.3
765,85.79
765,84.96
765,84.96
765,76.13
765,80.48
764,73.81
765,79.68
765,73.05
765,79.28
765,73.43
765,80.48
765,92.58
765,80.08
765,91.72
765,79.28
765,90.86
765,78.88
765,101.51
765,82.91
765,103.36
765,84.14
765,103.36
765,84.14
765,103.83
765,84.14
765,104.29
765,84.55
765,104.76
765,84.55
765,104.29
765,84.55
765,104.29
764,84.55
765,104.76
765,84.55
765,104.29
765,84.14
765,84.55
765,84.14
765,84.55
765,84.14
764,84.96
765,84.14
764,84.55
765,75.35
765,80.88
765,73.43
765,80.08
765,73.81
765,80.48
764,94.77
764,83.32
764,93.02
764,81.69
764,97.88
765,86.62
765,104.76
765,78.09
765,96.99
764,78.09
764,99.69
765,81.69
765,101.97
764,82.5
764,103.83
764,84.14
764,104.29
764,84.55
764,104.76
764,84.55
764,104.76
765,84.55
765,84.96
764,84.55
764,84.55
764,84.55
764,84.96
763,84.55
764,84.96
764,75.74
764,80.88
764,73.81
763,80.08
764,73.43
764,79.68
763,91.72
764,79.68
764,92.15
764,79.68
764,92.15
764,79.68
764,91.72
763,79.28
763,101.51
763,83.72
763,104.29
763,84.55
764,104.29
764,84.55
764,104.76
764,84.96
763,104.76
764,84.96
764,105.23
764,84.96
764,105.23
763,84.96
763,105.23
764,84.96
764,84.96
764,84.55
763,84.96
764,84.55
764,84.96
764,84.55
764,84.96
764,75.74
764,80.88
763,73.81
763,80.08
763,73.43
764,79.68
763,91.72
763,79.68
764,91.72
763,79.68
763,91.72
763,79.28
763,91.72
763,79.28
764,101.51
764,83.72
763,104.29
763,84.55
763,104.29
763,84.55
764,104.29
764,84.55
763,104.76
763,84.55
764,104.76
764,84.96
764,105.23
764,84.96
764,105.23
764,84.96
763,84.96
764,84.96
764,84.96
763,84.55
764,85.37
763,84.96
764,84.96
764,75.74
764,80.88
763,73.81
764,80.08
763,73.81
764,80.48
763,92.15
764,80.08
764,93.45
764,84.55
764,95.21
763,80.88
763,96.99
764,82.09
763,108.08
764,90.86
763,106.65
764,79.68
764,109.04
764,87.04
763,111.46
764,81.29
763,95.65
763,82.5
764,80.88
764,80.08
763,82.5
764,84.14
763,85.37
763,85.79
763,89.15
763,83.32
764,92.58
764,83.72
764,82.09
764,100.14
763,123.6
763,115.91
764,130.56
763,64.53
763,27.59
763,31.18
764,51.48
763,74.58
763,68.54
764,84.96
764,76.52
764,89.15
763,77.7
764,100.14
763,82.91
763,103.36
763,84.14
763,104.29
763,84.55
763,104.76
764,84.96
763,105.23
764,84.96
764,104.76
763,84.55
764,104.29
763,84.55
763,104.29
763,84.55
764,104.76
763,85.37
764,106.65
763,87.04
764,85.79
763,84.14
763,86.2
763,87.46
764,84.96
763,83.72
763,84.55
764,77.7
763,83.72
763,74.58
763,79.68
763,74.2
763,81.69
763,75.35
763,80.08
764,89.15
763,76.13
764,90
764,80.08
764,91.72
763,79.68
764,104.29
764,87.04
763,104.29
763,80.88
763,105.23
763,82.5
764,101.97
764,84.55
764,102.44
764,82.09
764,102.44
763,84.55
763,105.23
763,85.37
763,108.08
764,86.2
772,86.2
831,75.35
940,47.93
1023,24.9
1023,15.91
1023,12.5
1023,6.42
1023,5.06
1023,4.61
1023,3.94
1023,5.06
1023,5.51
1023,5.06
1023,5.06
1023,5.51
1023,5.74
1023,5.74
1023,5.96
1023,5.51
1023,6.19
1023,5.96
1023,5.74
1023,5.96
1023,5.96
1023,5.96
1023,5.74
1023,5.74
1023,5.74
1023,5.74
1023,5.74
1023,6.19
1023,5.96
1023,5.96
1023,5.74
1023,5.96
1023,5.96
1023,5.96
1023,5.96
1023,5.96
1023,5.96
1023,5.96
1023,5.96
1023,5.74
1023,5.96
1023,5.74
1023,5.96
1023,5.96
1023,5.74
1023,5.96
1023,5.74
1023,5.74
1023,5.96
1023,5.96
1023,5.96
1023,5.74
1023,5.96
1023,5.96
1023,5.96
1023,5.96
1023,5.74
1023,5.96
1023,6.19
1023,5.74
1023,6.19
1023,6.19
1023,5.96
1023,5.74
1023,5.96
1023,5.74
1023,5.74
1023,5.96
1023,5.96
1023,5.96
1023,5.96
1023,5.74
1023,5.74
1023,6.19
1023,6.19
1023,5.74
1023,5.74
1023,5.74
1023,5.96
1023,5.96
1023,5.96
1023,5.96
1023,5.96
1023,6.19
1023,5.96
1023,5.96
1023,5.96
1023,6.19
1023,5.96
1023,5.96
1023,5.96
1023,5.74
1023,5.74
1023,5.96
1023,5.74
1023,5.51
1023,5.96
1023,5.96
1023,5.74
1023,5.74
1023,5.96
1023,5.74
1023,5.96
1023,5.96
1023,5.74
1023,5.96
1023,5.74
1023,5.96
1023,5.96
1023,5.96
1023,6.19
1023,6.65
1023,6.65
1023,7.56
1023,10.83
1023,11.54
1023,6.88
1023,9.65
1023,6.88
1023,9.89
1023,3.05
1023,1.3
